,Baetid,America,Calliba,Guajir,Caenis,Ulmerit,Farrode,Tricory,Leptohy,Anacro,Hetaeri,Heterag,Libellu,Elga,Perithe,Macrothe,Pseudol,Neocord,Coenag,Nehalen,Argia,Lestida,Perisso,Epigomp,Desmogo,Phyllog,Agriogo,Palaemn,Ambrysu,Rhagove,Hexacyl,Neoelmi,Macrelm,Heterel,Xenelmi,Paracym,Gyrete,Ptiloda,Scirtid,Lutroch,Pelonom,Coleopt,Sialis,Neargyr,Phylloi,Banyall,Marilia,Leptne,Macrone,Smicrid,Macroste,Hydropt,Neotric,Nectops,Oecetis,Triplec,Chimarr,Autroti,Polycen,Cyrnell,Protopti,Anophel,Chorothrelidae,Tipulid,Limonia,Hexatom,Simuli,Ceratop,Forcipo,Xestoch,Tanytar,Chirono,Ortochl,Tanypod,Neoplas,Hemerodr,Chrisop,Clognia,Dixella,Ephyd2,Dolichop,Acari,Platyhe,Sphaeri,Oligoch,Hyrudi,Polycha,Nematom,Copepod,Collemb,,,,,,,,,,,,,,,,,,,,,,,
May01,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200.8,0,0,7860,5082.8,52.4,3039.2,0,0,0,0,0,0,0,157.2,0,0,262,0,262,104.8,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jun01,0,0,0,0,104.8,0,157.2,0,0,0,0,262,0,0,0,0,0,0,0,0,104.8,0,157.2,157.2,0,0,0,52.4,52.4,0,0,52.4,52.4,0,0,0,0,52.4,0,0,0,52.4,0,0,52.4,0,0,0,104.8,0,0,0,0,209.6,0,0,0,52.4,0,0,0,0,0,0,104.8,104.8,0,2200.8,0,104.8,2829.6,2200.8,471.6,9274.8,0,0,0,0,0,0,0,52.4,0,0,471.6,0,1205.2,1205.2,0,52.4,,,,,,,,,,,,,,,,,,,,,,,
Jul01,0,0,0,0,104.8,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,471.6,366.8,0,1414.8,0,0,0,0,0,0,0,0,0,0,52.4,0,104.8,104.8,0,0,,,,,,,,,,,,,,,,,,,,,,,
Aug01,0,0,0,0,104.8,0,104.8,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,157.2,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,52.4,0,0,0,0,0,0,0,0,1048,0,0,3930,5030.4,366.8,4558.8,0,0,0,0,0,0,0,0,0,0,786,0,1100.4,157.2,52.4,0,,,,,,,,,,,,,,,,,,,,,,,
Sep01,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,104.8,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1467.2,104.8,0,1834,2777.2,0,4087.2,0,0,0,0,0,0,0,0,0,0,1519.6,0,366.8,52.4,0,0, ,,,,,,,,,,,,,,,,,,,,,,
Oct01,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,628.8,0,52.4,5449.6,4244.4,104.8,4454,0,0,0,0,0,0,0,0,0,0,314.4,0,1048,104.8,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nov01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.8,0,0,3196.4,4716,0,1938.8,0,0,0,0,0,0,0,0,0,0,52.4,0,1886.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Dec01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205.2,0,52.4,2724.8,3144,0,2253.2,0,0,0,52.4,0,0,0,0,0,0,0,0,1362.4,471.6,0,52.4,,,,,,,,,,,,,,,,,,,,,,,
Jan02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,262,3772.8,3144,0,2096,0,0,0,0,0,0,0,0,0,0,995.6,0,52.4,104.8,0,52.4,,,,,,,,,,,,,,,,,,,,,,,
Feb02,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.8,262,0,4768.4,6026,0,4716,0,0,0,0,0,0,0,0,0,0,419.2,0,104.8,0,104.8,104.8,,,,,,,,,,,,,,,,,,,,,,,
Mar02,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,104.8,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,52.4,0,524,0,0,0,0,0,0,0,0,0,0,0,1729.2,0,0,9956,5030.4,104.8,5344.8,0,0,0,0,0,0,0,0,0,0,262,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Apr02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,0,0,2043.6,2358,628.8,1676.8,0,0,0,0,0,0,0,0,0,0,104.8,0,0,104.8,0,0,,,,,,,,,,,,,,,,,,,,,,,
May02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576.4,0,0,628.8,419.2,0,838.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jun02,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.2,0,0,419.2,681.2,0,524,0,0,0,0,0,0,0,0,0,0,419.2,314.4,0,0,52.4,52.4,,,,,,,,,,,,,,,,,,,,,,,
Jul02,52.4,0,0,0,0,0,366.8,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,0,0,104.8,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,314.4,0,0,471.6,419.2,157.2,314.4,0,0,0,0,0,0,0,0,104.8,0,157.2,0,52.4,104.8,0,0,,,,,,,,,,,,,,,,,,,,,,,
Aug02,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,52.4,681.2,995.6,104.8,1729.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep02,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,52.4,0,52.4,1676.8,0,524,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Oct02,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,52.4,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,209.6,0,0,2043.6,995.6,0,2253.2,0,0,0,0,0,0,0,0,0,0,104.8,0,419.2,157.2,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nov02,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,52.4,0,838.4,1572,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,,,,,,,,,,,,,,,,,,,,,,,
Dec02,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257.6,0,0,0,890.8,0,0,1310,419.2,0,1152.8,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,52.4,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jan03,0,0,104.8,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,838.4,0,0,0,786,52.4,52.4,5292.4,1572,52.4,2672.4,0,0,0,0,0,0,0,209.6,52.4,0,209.6,0,0,0,52.4,0,,,,,,,,,,,,,,,,,,,,,,,
Feb03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0,0,1257.6,0,52.4,0,1152.8,0,0,3668,1834,0,2882,0,0,0,0,0,0,0,104.8,0,0,0,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Mar03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,1048,0,52.4,5187.6,3668,104.8,2200.8,0,0,0,0,0,0,0,104.8,0,0,52.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Apr03,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,209.6,0,0,0,1205.2,0,52.4,2462.8,1676.8,52.4,2253.2,0,0,0,0,0,0,0,104.8,0,0,0,0,0,52.4,0,0,,,,,,,,,,,,,,,,,,,,,,,
May03,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,52.4,52.4,0,0,0,0,0,0,0,0,419.2,0,0,0,471.6,0,0,1572,2986.8,0,1834,0,0,0,0,0,0,0,52.4,0,0,0,0,0,52.4,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jun03,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,104.8,0,0,0,0,0,0,0,0,52.4,0,0,0,1100.4,0,104.8,3930,5606.8,0,3510.8,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jul03,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,104.8,0,0,0,0,0,0,0,0,419.2,0,0,0,471.6,0,0,1362.4,1414.8,0,1519.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Aug03,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,314.4,0,209.6,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,471.6,0,0,0,471.6,0,0,1991.2,1991.2,0,3144,0,0,0,0,0,0,0,104.8,0,0,0,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,786,0,0,4192,1991.2,0,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Oct03,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,52.4,0,0,0,0,0,0,0,314.4,0,0,0,890.8,0,52.4,1938.8,1048,104.8,1781.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nov03,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,209.6,0,52.4,0,471.6,0,104.8,3458.4,1100.4,0,1676.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Dec03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,1205.2,0,104.8,7598,3144,52.4,3825.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jan04,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,838.4,0,0,0,995.6,0,0,3772.8,2934.4,0,3458.4,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,681.2,0,0,9694,10532.4,157.2,2829.6,0,0,0,0,0,0,0,104.8,0,0,52.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Apr04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,52.4,0,838.4,0,157.2,3144,1729.2,0,2305.6,0,0,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,0,0,1310,1205.2,0,1152.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,314.4,0,157.2,3720.4,4768.4,0,3144,0,0,0,0,0,0,0,0,0,52.4,52.4,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
May05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.2,0,0,2829.6,4087.2,0,1362.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep05,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,104.8,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.4,0,0,2724.8,1886.4,0,3930,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.6,0,0,1100.4,419.2,0,471.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
May06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.2,0,0,314.4,419.2,0,314.4,0,0,52.4,52.4,0,0,0,0,0,0,52.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Oct06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,419.2,0,52.4,628.8,733.6,0,471.6,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb07,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,628.8,0,0,6235.6,3982.4,0,4139.6,0,0,209.6,0,0,0,0,0,0,0,628.8,0,104.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
May07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.2,0,52.4,5816.4,6183.2,0,3248.8,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,471.6,0,0,1624.4,2515.2,0,1938.8,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb08,0,0,52.4,0,0,0,104.8,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,0,157.2,366.8,366.8,366.8,2829.6,0,0,52.4,0,0,0,0,0,0,0,52.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
May08,52.4,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,104.8,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,1152.8,0,0,10689.6,7231.2,52.4,7755.2,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep08,0,0,52.4,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.4,0,0,0,0,0,0,104.8,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,314.4,0,314.4,0,2043.6,0,52.4,4558.8,1938.8,314.4,1519.6,0,0,0,0,0,0,0,0,0,0,576.4,0,52.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb09,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,995.6,0,52.4,7702.8,1834,0,2253.2,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
May09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519.6,0,0,995.6,2253.2,0,1991.2,52.4,157.2,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.4,0,0,366.8,1624.4,0,1834,0,0,52.4,0,0,0,0,52.4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,314.4,366.8,0,366.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,,,,,,,,,,,,,,,,,,,,,,,
May10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.6,0,0,733.6,943.2,0,2358,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,52.4,0,,,,,,,,,,,,,,,,,,,,,,,
Sep10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
May11,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,314.4,0,0,104.8,419.2,0,314.4,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sep11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.8,0,0,419.2,628.8,0,471.6,0,52.4,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,,,,,,,,,,,,,,,,,,,,,,,
Feb12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.4,0,0,2882,890.8,0,1467.2,0,0,52.4,0,0,0,0,0,0,0,209.6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
